seed,nBalloons,ackPolicy,towerContact,meshHop,rounds,meanDegree,groundedPct,believedGroundedPct,originated,delivered,satellite,acked,ackLost,droppedLoop,droppedTtl,blocked,completionRate,meanTowerAdjacent,deliveryCeilingPerRound,slotsWithBundle,stallNoBelief,stallStaleNextHop
6,600,source-routed,1,1,800,2.8533,33.3333,25.1667,2383,433,1547,355,74,0,0,127,0.218687,12.8462,2.5692,49846,45628,78
0,600,source-routed,1,1,800,3.0317,44.0000,43.0000,2375,788,1242,723,51,6,0,129,0.387033,13.2338,2.6467,40866,35433,34
12,600,source-routed,1,1,800,3.1833,54.6667,34.8333,2379,525,1454,435,78,7,0,588,0.264350,7.1312,1.4263,44059,36713,62
6,600,source-routed,1,2,800,2.8533,33.3333,25.1667,2383,475,1506,362,106,0,0,477,0.239778,12.8462,2.5692,49303,45597,75
0,600,source-routed,1,2,800,3.0317,44.0000,43.0000,2374,805,1230,736,59,5,0,282,0.394608,13.2338,2.6467,40369,35428,34
12,600,source-routed,1,2,800,3.1833,54.6667,34.8333,2379,582,1391,438,131,8,2,1280,0.293495,7.1312,1.4263,43040,36665,60
6,600,source-routed,1,4,800,2.8533,33.3333,25.1667,2382,497,1489,372,117,0,0,1136,0.250252,12.8462,2.5692,49074,45573,77
12,600,source-routed,1,4,800,3.1833,54.6667,34.8333,2379,619,1357,438,164,7,2,2714,0.311839,7.1312,1.4263,42665,36690,61
0,600,source-routed,1,4,800,3.0317,44.0000,43.0000,2375,828,1201,721,97,5,1,1348,0.406880,13.2338,2.6467,40324,35427,34
6,600,source-routed,1,8,800,2.8533,33.3333,25.1667,2382,500,1486,377,115,0,0,2076,0.251762,12.8462,2.5692,49006,45573,77
0,600,source-routed,1,8,800,3.0317,44.0000,43.0000,2375,828,1199,722,97,5,4,2641,0.406680,13.2338,2.6467,40222,35427,34
12,600,source-routed,1,8,800,3.1833,54.6667,34.8333,2378,621,1352,436,169,6,2,5390,0.313478,7.1312,1.4263,42636,36687,61
6,600,source-routed,4,1,800,2.8533,33.3333,25.1667,2383,442,1539,360,78,0,0,125,0.223120,12.8462,10.2770,49796,45630,78
0,600,source-routed,4,1,800,3.0317,44.0000,43.0000,2375,797,1240,727,54,6,0,103,0.390113,13.2338,10.5870,40727,35433,33
12,600,source-routed,4,1,800,3.1833,54.6667,34.8333,2379,548,1434,427,108,7,0,584,0.275515,7.1312,5.7050,43945,36721,54
