horizonCoeff,nBalloons,fallbackTimeoutMin,ackDurationSec,totalPayloads,radioDelivered,satelliteDelivered,pctRadio,pctSatellite
3.4,50,10,30,14400,91,14209,0.632,98.674
3.4,50,20,30,14400,0,14200,0.000,98.611
3.4,50,30,30,14400,210,13890,1.458,96.458
3.4,50,60,30,14400,278,13534,1.931,93.986
3.4,100,10,30,28800,711,27895,2.469,96.858
3.4,100,20,30,28800,1466,26946,5.090,93.562
3.4,100,30,30,28800,422,27778,1.465,96.451
3.4,100,60,30,28800,440,27160,1.528,94.306
3.4,200,10,30,57600,1954,55258,3.392,95.934
3.4,200,20,30,57600,3666,53174,6.365,92.316
3.4,200,30,30,57600,4217,52267,7.321,90.741
3.4,200,60,30,57600,2346,52938,4.073,91.906
3.4,400,10,30,115200,6878,107608,5.970,93.410
3.4,400,20,30,115200,18950,94890,16.450,82.370
3.4,400,30,30,115200,9170,103789,7.960,90.095
3.4,400,60,30,115200,15391,95299,13.360,82.725
3.4,500,10,30,144000,28002,115220,19.446,80.014
3.4,500,60,30,144000,26660,112818,18.514,78.346
3.4,600,10,30,172800,50768,120990,29.380,70.017
3.4,600,60,30,172800,95093,73818,55.031,42.719
3.4,700,10,30,201600,151966,49338,75.380,24.473
3.4,700,60,30,201600,152985,46379,75.885,23.005
3.4,800,10,30,230400,202076,28227,87.707,12.251
3.4,800,20,30,230400,195283,34896,84.758,15.146
3.4,800,30,30,230400,211877,18104,91.961,7.858
3.4,800,60,30,230400,209360,19658,90.868,8.532
3.4,900,10,30,259200,247801,11341,95.602,4.375
3.4,900,60,30,259200,246498,12319,95.100,4.753
3.4,1000,10,30,288000,274886,13064,95.447,4.536
3.4,1000,60,30,288000,285682,2234,99.195,0.776
3.4,1600,10,30,460800,460800,0,100.000,0.000
3.4,1600,20,30,460800,460710,90,99.980,0.020
3.4,1600,30,30,460800,460800,0,100.000,0.000
3.4,1600,60,30,460800,460633,143,99.964,0.031
