protocol,n,seed,originated,delivered,resolved,unresolved,unresolved_share,completion_rate,delivered_per_originated,stall_rate,delivered_per_slot_used,ceiling_utilisation,delivery_latency_mean,delivery_latency_p95,ack_latency_mean,first_hop_latency_mean,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share
dv-dtn,100,0,199,16,125,74,0.37185929648241206,0.128,0.08040201005025126,0.993634917026597,0.5714285714285714,0.016666666666666666,7.375,15,10.5625,4.6,109,0,0,0,4371,1.7402190923317684,0.75,,
dv-dtn,200,0,396,24,255,141,0.3560606060606061,0.09411764705882353,0.06060606060606061,0.9952019638473555,0.5581395348837209,0.018726591760299626,7.5,15,11.208333333333334,4.8125,231,0,0,0,8919,1.7993697478991597,0.7916666666666666,,
dv-dtn,400,0,789,104,519,270,0.34220532319391633,0.2003853564547206,0.13181242078580482,0.9814679346500853,0.34210526315789475,0.04385964912280702,12.817307692307692,30,21.223300970873787,5.5,415,0,0,0,16100,3.0092464170134074,1.9326923076923077,,
dv-dtn,600,0,1186,388,856,330,0.2782462057335582,0.4532710280373832,0.327150084317032,0.8650122716116717,0.15676767676767678,0.09273422562141492,27.012886597938145,100,33.947976878612714,9.309090909090909,464,4,0,17,15831,6.0356599371005375,3.1288659793814433,,
dv-dtn,800,0,1585,840,1217,368,0.23217665615141955,0.6902218570254725,0.5299684542586751,0.6558686345920388,0.155959896026736,0.12594458438287154,37.03928571428571,125,42.69846153846154,9.405017921146953,369,8,0,258,9940,5.916950352989558,3.619047619047619,,
dv-dtn,1200,0,2376,1608,1931,445,0.18728956228956228,0.8327291558777835,0.6767676767676768,0.14615662215806569,0.13592561284868976,0.17195654033706903,43.03358208955224,130,51.136538461538464,6.987438313144908,263,58,2,734,1250,6.5117873981997425,4.208955223880597,,
dv-dtn,1600,0,3170,2184,2581,589,0.18580441640378548,0.8461836497481596,0.6889589905362776,0.11532571563199434,0.14540612516644474,0.1667277390985709,44.44184981684982,130,51.14847809948033,7.149268617021277,282,115,0,1694,229,6.1690850366370995,4.1401098901098905,,
dv-dtn,2000,0,3956,2883,3274,682,0.1723963599595551,0.8805742211362249,0.7287664307381193,0.0799384348997162,0.15071357624549114,0.19458693304535638,43.8366285119667,125,50.485611510791365,6.496958476593494,280,111,0,1506,122,5.996733613735442,4.219909816163718,,
dv-dtn,3000,0,5947,4177,4842,1105,0.18580797040524635,0.8626600578273441,0.7023709433327728,0.09658631289435371,0.14960601719197708,0.21399442600106564,46.62892027771127,130,54.77502295684114,6.6672507446994915,503,162,0,2910,52,5.7949771437545365,4.088101508259516,,
dv-dtn,100,1,196,10,133,63,0.32142857142857145,0.07518796992481203,0.05102040816326531,0.9976019184652278,0.9090909090909091,0.006446621970087674,5.4,15,5.8,6,123,0,0,0,4576,1.1591836734693877,0.1,,
dv-dtn,200,1,395,18,257,138,0.3493670886075949,0.07003891050583658,0.04556962025316456,0.9973764757324005,0.75,0.008311784263021796,12,75,13.333333333333334,4.333333333333333,239,0,0,0,9123,1.3104294478527607,0.2777777777777778,,
dv-dtn,400,1,793,72,511,282,0.35561160151324084,0.14090019569471623,0.09079445145018916,0.989007843361768,0.375,0.01827782290820471,11.027777777777779,30,17.492957746478872,4.87037037037037,439,0,0,0,17262,2.517252396166134,1.5972222222222223,,
dv-dtn,600,1,1192,346,839,353,0.2961409395973154,0.4123957091775924,0.2902684563758389,0.9034014905407988,0.17111770524233433,0.07262804366078925,39.164739884393065,115,45.62626262626262,8.675392670157068,488,5,0,26,18864,5.402716341660955,4.115606936416185,,
dv-dtn,800,1,1587,566,1108,479,0.3018273471959672,0.5108303249097473,0.35664776307498425,0.7432676753259111,0.10489251297257228,0.1059290312921096,53.36219081272085,140,54.940298507462686,9.824919441460795,527,15,0,433,15138,7.536826846812351,4.773851590106007,,
dv-dtn,1200,1,2384,1298,1802,582,0.24412751677852348,0.7203107658157603,0.5444630872483222,0.20453622207176714,0.11047748744574007,0.14405575779099708,51.81664098613251,140,59.08898305084746,7.809651474530831,425,79,0,1810,1163,6.916563190224498,4.197996918335901,,
dv-dtn,1600,1,3178,1928,2508,670,0.21082441787287604,0.7687400318979266,0.6066708621774701,0.16345518608236076,0.12688384336952946,0.1693843126229969,50.46784232365145,135,60.03836530442035,7.54003294892916,484,96,0,2384,538,6.493819475322366,4.161307053941909,,
dv-dtn,2000,1,3962,2399,3113,849,0.21428571428571427,0.7706392547381946,0.6055022715800101,0.1548656662772936,0.12753176332996652,0.17928673920841803,49.791996665277196,135,57.339985218034,7.3481112277019935,582,131,1,3173,228,6.307531273278364,4.1867444768653606,,
dv-dtn,3000,1,5946,4081,4818,1128,0.18970736629667004,0.8470319634703196,0.6863437605112681,0.10722929936305736,0.1455784254271751,0.22232512529962956,48.67728497917177,135,58.18304431599229,6.717231737154841,592,145,0,3259,70,5.890903455098999,4.166625827003186,,
dv-dtn,100,2,199,6,124,75,0.3768844221105528,0.04838709677419355,0.03015075376884422,0.9986687375194142,1,0.00625,4.333333333333333,10,4.333333333333333,0,118,0,0,0,4501,1.0656370656370657,0,,
dv-dtn,200,2,398,34,252,146,0.36683417085427134,0.1349206349206349,0.08542713567839195,0.9908384552939812,0.43037974683544306,0.02125,13.323529411764707,25,19.558823529411764,9.25,218,0,0,0,8544,2.4061538461538463,1.411764705882353,,
dv-dtn,400,2,793,152,527,266,0.3354350567465322,0.2884250474383302,0.19167717528373265,0.9599895568174401,0.24796084828711257,0.05329593267882188,24.49342105263158,80,32.01574803149607,5.4630872483221475,375,0,0,6,14696,3.9204808136846974,2.736842105263158,,
dv-dtn,600,2,1192,293,820,372,0.31208053691275167,0.3573170731707317,0.24580536912751677,0.9236751847736824,0.18544303797468353,0.07043269230769231,29.341296928327644,120,36.661654135338345,9.599455040871934,527,0,0,191,18926,4.762048597127131,2.832764505119454,,
dv-dtn,800,2,1585,650,1152,433,0.273186119873817,0.5642361111111112,0.41009463722397477,0.6885360980614503,0.11269070735090153,0.11284722222222222,44.62615384615385,140,51.44736842105263,10.540462427745664,499,3,0,366,12351,7.229237445753255,3.853846153846154,,
dv-dtn,1200,2,2383,1185,1782,601,0.2522031053294167,0.664983164983165,0.49727234578262697,0.20397848765632087,0.09645909645909646,0.15012161751292186,48.62194092827004,135,56.139627659574465,7.979436745641484,515,77,5,1821,1273,7.610765792312055,4.110548523206751,,
dv-dtn,1600,2,3174,1697,2409,765,0.24102079395085066,0.7044416770444167,0.5346565847511027,0.16377119742778612,0.10524031007751938,0.19462794751812093,53.22687094873306,140,59.73799582463466,7.5810276679841895,566,146,0,2728,386,6.953400024300352,4.265763111373011,,
dv-dtn,2000,2,3960,2429,3117,843,0.2128787878787879,0.779274943856272,0.6133838383838384,0.14740689175078314,0.12395386813635435,0.20712531550583257,50.51543845203788,135,57.536265432098766,7.215546772068511,553,132,3,3038,316,6.49123371815261,4.350349938246191,,
dv-dtn,3000,2,5950,3912,4728,1222,0.2053781512605042,0.8274111675126904,0.6574789915966387,0.11922360248447206,0.13793589788794472,0.21365840870363087,49.910787321063395,135,55.77270673294171,7.143406113537118,657,158,1,3735,73,6.023773987660148,4.1280674846625764,,
dv-dtn,100,3,196,6,124,72,0.3673469387755102,0.04838709677419355,0.030612244897959183,0.9982773471145564,0.75,0.009375,9.666666666666666,35,11.666666666666666,17.5,118,0,0,0,4636,1.280701754385965,0.3333333333333333,,
dv-dtn,200,3,397,6,246,151,0.380352644836272,0.024390243902439025,0.015113350125944584,0.9991497502391328,0.75,0.009375,6.666666666666667,15,8.333333333333334,4.5,240,0,0,0,9401,1.3164556962025316,0.3333333333333333,,
dv-dtn,400,3,793,61,508,285,0.3593947036569987,0.12007874015748031,0.07692307692307693,0.9890363207016755,0.3128205128205128,0.026972055182171915,13.98360655737705,40,23.233333333333334,5.375,447,0,0,0,17580,3.20007908264136,2.2295081967213113,,
dv-dtn,600,3,1191,159,781,410,0.34424853064651556,0.20358514724711907,0.13350125944584382,0.9275814868679956,0.0939161252215003,0.0496875,47.45283018867924,140,40.55084745762712,10.865942028985508,617,5,0,107,21558,7.846522131887985,3.880503144654088,,
dv-dtn,800,3,1584,385,1094,490,0.30934343434343436,0.35191956124314444,0.24305555555555555,0.8815052041633307,0.12387387387387387,0.07382267218898604,31.137662337662338,110,38.57058823529412,8.081739130434782,701,8,0,196,22899,7.485677196019039,3.496103896103896,,
dv-dtn,1200,3,2369,1199,1777,592,0.24989447024060785,0.674732695554305,0.5061207260447447,0.1924055857467153,0.10212947189097103,0.14332504542411784,47.215179316096744,140,51.56926952141058,7.485752448797863,501,75,2,1954,785,7.439155411331345,4.28023352793995,,
