protocol,seed,originated,delivered,resolved,completion_rate,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share,delivered_per_orig
proactive,0,2376,1608,1931,0.8327291558777835,263,58,2,734,1250,6.5117873981997425,4.208955223880597,,,0.6767676767676768
proactive,1,2384,1298,1802,0.7203107658157603,425,79,0,1810,1163,6.916563190224498,4.197996918335901,,,0.5444630872483222
proactive,2,2383,1185,1782,0.664983164983165,515,77,5,1821,1273,7.610765792312055,4.110548523206751,,,0.49727234578262697
proactive,3,2369,1199,1777,0.674732695554305,501,75,2,1954,785,7.439155411331345,4.28023352793995,,,0.5061207260447447
proactive,4,2376,1343,1799,0.7465258476931629,379,77,0,1727,587,6.918760652012411,4.178704393149665,,,0.5652356902356902
proactive,5,2383,1124,1794,0.6265328874024526,589,80,1,2252,761,8.01032108828551,3.9626334519572954,,,0.4716743600503567
proactive,6,2378,1462,1871,0.7814003206841261,319,90,0,1267,734,7.0019282516096,4.728454172366621,,,0.6148023549201009
proactive,7,2384,1032,1763,0.5853658536585366,598,131,2,1493,822,8.733646716101696,4.770348837209302,,,0.43288590604026844
proactive,8,2379,1157,1757,0.6585088218554354,505,95,0,1884,725,7.617442687530777,4.742437337942956,,,0.48633879781420764
proactive,9,2380,1237,1805,0.6853185595567867,499,67,2,1982,1090,7.216174644854371,4.145513338722716,,,0.5197478991596639
proactive,10,2389,1424,1881,0.7570441254651781,333,118,6,950,837,7.9367560099475,4.962780898876405,,,0.5960652992884052
proactive,11,2387,1071,1723,0.6215902495647128,535,115,2,1545,674,8.454389230989547,4.636788048552755,,,0.44868035190615835
proactive,12,2381,1102,1734,0.635524798154556,565,67,0,1934,896,8.06049303701088,4.492740471869329,,,0.4628307433851323
proactive,13,2388,1363,1850,0.7367567567567568,408,78,1,1462,1182,7.183652285300971,4.374908290535584,,,0.5707705192629816
proactive,14,2375,1347,1882,0.7157279489904357,447,87,1,1526,998,7.5483401506047345,4.016332590942836,,,0.5671578947368421
proactive,15,2382,1178,1805,0.6526315789473685,540,86,1,1990,1061,8.11052084025057,4.438030560271647,,,0.4945424013434089
proactive,16,2385,1387,1839,0.7542142468733007,398,54,0,1762,1346,6.836204711043506,4.366979091564528,,,0.5815513626834381
proactive,17,2385,1211,1777,0.6814856499718627,487,79,0,2031,978,7.521739607326972,4.500412881915772,,,0.5077568134171908
proactive,18,2389,1176,1754,0.6704675028506272,513,65,0,2383,1946,7.740299917876951,4.634353741496598,,,0.49225617413143574
proactive,19,2368,983,1715,0.5731778425655977,655,77,0,2782,705,8.058311785072533,4.653102746693794,,,0.41511824324324326
reactive,0,2378,1197,1833,0.6530278232405892,505,131,0,20,20258,5.357460176429523,4.0852130325814535,,,0.5033641715727503
reactive,1,2384,1017,1783,0.5703869882220975,617,149,0,35,22336,5.750573558933181,4.015732546705998,,,0.4265939597315436
reactive,2,2380,900,1713,0.5253940455341506,714,99,0,99,24944,5.7510343149184715,3.9166666666666665,,,0.37815126050420167
reactive,3,2372,944,1758,0.5369738339021616,669,145,0,36,23885,5.838457175269427,3.9788135593220337,,,0.3979763912310287
reactive,4,2377,1017,1755,0.5794871794871795,609,129,0,70,23125,5.661790266512167,4.137659783677483,,,0.4278502313840976
reactive,5,2381,874,1717,0.5090273733255678,725,118,0,48,25894,5.702113821138211,3.807780320366133,,,0.3670726585468291
reactive,6,2385,1001,1785,0.5607843137254902,627,157,0,65,22436,5.943455911427442,4.197802197802198,,,0.41970649895178197
reactive,7,2385,736,1707,0.4311657879320445,824,147,0,36,29826,6.041281809613572,4.190217391304348,,,0.30859538784067087
reactive,8,2382,795,1663,0.47805171377029465,737,131,0,57,25572,6.265231467855191,4.2779874213836475,,,0.3337531486146096
reactive,9,2375,952,1743,0.5461847389558233,683,108,0,136,23928,5.626690540592023,3.9884453781512605,,,0.4008421052631579
