n,seed,meanDegree,groundedPct
100,0,0.53,8
100,1,0.66,5
100,2,0.45,3
100,3,0.62,2
100,4,0.31,1
100,5,0.65,8
100,6,0.32,0
100,7,0.46,0
100,8,0.63,6
100,9,0.58,3
100,10,0.42,0
100,11,0.44,4
100,12,0.51,2
100,13,0.64,7
100,14,0.52,4
100,15,0.69,1
100,16,0.49,2
100,17,0.58,2
100,18,0.44,2
100,19,0.54,4
100,20,0.57,3
100,21,0.5,2
100,22,0.46,0
100,23,0.62,4
100,24,0.47,1
100,25,0.54,3
100,26,0.45,5
100,27,0.6,0
100,28,0.46,3
100,29,0.37,2
100,30,0.42,0
100,31,0.71,7
100,32,0.57,2
100,33,0.6,3
100,34,0.44,0
200,0,0.975,6.5
200,1,0.965,5
200,2,1.045,8.5
200,3,0.98,1.5
200,4,0.805,9
200,5,1.08,8
200,6,0.96,1.5
200,7,1.07,0
200,8,1.08,6
200,9,1.155,4.5
200,10,1.03,2
200,11,0.85,2
200,12,0.985,2.5
200,13,1.12,10.5
200,14,1.025,4.5
200,15,1.115,2.5
200,16,0.9,0
200,17,1.005,3.5
200,18,0.815,0.5
200,19,1.08,3
200,20,1.225,7.5
200,21,1.1,1.5
200,22,1,2
200,23,1.19,5.5
200,24,1.01,8
200,25,1.11,4.5
200,26,1.11,9.5
200,27,0.985,4
200,28,0.905,4.5
200,29,0.965,5
200,30,1.25,1
200,31,1.21,8
200,32,1.005,2.5
200,33,0.93,1.5
200,34,1.04,0
400,0,2.11,14
400,1,1.9425,8.5
400,2,2.0175,20
400,3,1.9425,8
400,4,2.0325,12.75
400,5,2.2375,18.5
400,6,2.025,9
400,7,2.05,5.5
400,8,2.0725,14.25
400,9,2.18,29.25
400,10,2.1625,9
400,11,1.9775,1.75
400,12,2.09,2.25
400,13,2.2075,22.25
400,14,2.2125,22.75
400,15,2.2425,11.25
400,16,1.8025,2.5
400,17,2.09,7.25
400,18,1.795,4.75
400,19,2.1225,1.75
400,20,2.085,11
400,21,1.9775,10.25
400,22,1.945,1.75
400,23,2.2225,14.25
400,24,2.115,8.75
400,25,2.0775,17.25
400,26,2.1425,12.25
400,27,2.0875,9
400,28,1.9825,4.75
400,29,2.1825,13.75
400,30,2.3025,5.25
400,31,2.2,26.75
400,32,1.9875,6.75
400,33,1.98,12
400,34,2.19,5
600,0,3.06,45.666666666666664
600,1,3.025,35.666666666666664
600,2,3.0483333333333333,35.833333333333336
600,3,2.9133333333333336,23.666666666666668
600,4,3.1016666666666666,26
600,5,3.3383333333333334,54.666666666666664
600,6,2.881666666666667,28.333333333333332
600,7,3.0383333333333336,22.833333333333332
600,8,3.0483333333333333,30.166666666666668
600,9,3.365,45.666666666666664
600,10,3.175,38.333333333333336
600,11,3.138333333333333,14.166666666666666
600,12,3.185,27.833333333333332
600,13,3.2066666666666666,40.166666666666664
600,14,3.07,39.333333333333336
600,15,3.256666666666667,34.666666666666664
600,16,2.92,3.8333333333333335
600,17,3.033333333333333,27.833333333333332
600,18,2.975,3.3333333333333335
600,19,2.9766666666666666,17.5
600,20,3.03,19.166666666666668
600,21,2.8933333333333335,41.833333333333336
600,22,3.3033333333333332,4.833333333333333
600,23,3.4583333333333335,50.5
600,24,3.125,32.166666666666664
600,25,3.1016666666666666,57
600,26,3.1416666666666666,42.833333333333336
600,27,3.3033333333333332,50.833333333333336
600,28,3.025,10.833333333333334
