horizonCoeff,nBalloons,fallbackTimeoutMin,ackDurationSec,totalPayloads,radioDelivered,satelliteDelivered,pctRadio,pctSatellite
3.4,50,10,30,14400,0,14300,0.000,99.306
3.4,50,20,30,14400,288,13916,2.000,96.639
3.4,50,30,30,14400,1152,12972,8.000,90.083
3.4,50,60,30,14400,123,13689,0.854,95.063
3.4,100,10,30,28800,288,28314,1.000,98.313
3.4,100,20,30,28800,909,27499,3.156,95.483
3.4,100,30,30,28800,1728,26508,6.000,92.042
3.4,100,60,30,28800,1526,26122,5.299,90.701
3.4,200,10,30,57600,4341,52891,7.536,91.825
3.4,200,20,30,57600,2080,54756,3.611,95.063
3.4,200,30,30,57600,946,55472,1.642,96.306
3.4,200,60,30,57600,2295,52996,3.984,92.007
3.4,400,10,30,115200,8895,105555,7.721,91.628
3.4,400,20,30,115200,15675,98173,13.607,85.220
3.4,400,30,30,115200,21402,91777,18.578,79.668
3.4,400,60,30,115200,7265,103431,6.306,89.784
3.4,800,10,30,230400,200861,29232,87.179,12.688
3.4,800,20,30,230400,180588,48876,78.380,21.214
3.4,800,30,30,230400,173517,56419,75.311,24.487
3.4,800,60,30,230400,209813,19698,91.065,8.549
3.4,1600,10,30,460800,460741,59,99.987,0.013
3.4,1600,20,30,460800,460680,120,99.974,0.026
3.4,1600,30,30,460800,460790,10,99.998,0.002
3.4,1600,60,30,460800,460798,2,100.000,0.000
3.6,50,10,30,14400,576,13728,4.000,95.333
3.6,50,20,30,14400,81,14119,0.563,98.049
3.6,50,30,30,14400,864,13254,6.000,92.042
3.6,50,60,30,14400,288,13524,2.000,93.917
3.6,100,10,30,28800,290,28312,1.007,98.306
3.6,100,20,30,28800,1440,26980,5.000,93.681
3.6,100,30,30,28800,576,27636,2.000,95.958
3.6,100,60,30,28800,864,26772,3.000,92.958
3.6,200,10,30,57600,4340,52882,7.535,91.809
3.6,200,20,30,57600,2078,54750,3.608,95.052
3.6,200,30,30,57600,1041,55389,1.807,96.161
3.6,200,60,30,57600,2880,52440,5.000,91.042
3.6,400,10,30,115200,24655,89957,21.402,78.088
3.6,400,20,30,115200,19375,94489,16.819,82.022
3.6,400,30,30,115200,23392,90072,20.306,78.188
3.6,400,60,30,115200,11104,99734,9.639,86.575
3.6,800,10,30,230400,220675,9657,95.779,4.191
3.6,800,20,30,230400,218899,11341,95.008,4.922
3.6,800,30,30,230400,222302,7980,96.485,3.464
3.6,800,60,30,230400,218704,10997,94.924,4.773
3.6,1600,10,30,460800,460439,359,99.922,0.078
3.6,1600,20,30,460800,460780,20,99.996,0.004
3.6,1600,30,30,460800,460800,0,100.000,0.000
3.6,1600,60,30,460800,460800,0,100.000,0.000
3.8,50,10,30,14400,288,14014,2.000,97.319
3.8,50,20,30,14400,288,13916,2.000,96.639
3.8,50,30,30,14400,576,13536,4.000,94.000
3.8,50,60,30,14400,453,13371,3.146,92.854
3.8,100,10,30,28800,1165,27441,4.045,95.281
3.8,100,20,30,28800,711,27698,2.469,96.174
3.8,100,30,30,28800,864,27354,3.000,94.979
3.8,100,60,30,28800,0,27600,0.000,95.833
3.8,200,10,30,57600,2592,54626,4.500,94.837
3.8,200,20,30,57600,2487,54361,4.318,94.377
3.8,200,30,30,57600,5319,51199,9.234,88.887
3.8,200,60,30,57600,2416,52904,4.194,91.847
3.8,400,10,30,115200,23433,91133,20.341,79.109
3.8,400,20,30,115200,35223,78814,30.576,68.415
3.8,400,30,30,115200,28333,84868,24.595,73.670
3.8,400,60,30,115200,54802,57695,47.571,50.082
3.8,800,10,30,230400,223309,7047,96.922,3.059
3.8,800,20,30,230400,228217,2167,99.053,0.941
3.8,800,30,30,230400,228033,2325,98.973,1.009
3.8,800,60,30,230400,229128,1224,99.448,0.531
3.8,1600,10,30,460800,460791,9,99.998,0.002
3.8,1600,20,30,460800,460800,0,100.000,0.000
3.8,1600,30,30,460800,460800,0,100.000,0.000
3.8,1600,60,30,460800,460800,0,100.000,0.000
4,50,10,30,14400,1430,12882,9.931,89.458
4,50,20,30,14400,0,14200,0.000,98.611
4,50,30,30,14400,576,13536,4.000,94.000
4,50,60,30,14400,808,13028,5.611,90.472
4,100,10,30,28800,633,27973,2.198,97.128
4,100,20,30,28800,976,27444,3.389,95.292
4,100,30,30,28800,1327,26897,4.608,93.392
4,100,60,30,28800,1877,25807,6.517,89.608
4,200,10,30,57600,2026,55186,3.517,95.809
4,200,20,30,57600,2094,54730,3.635,95.017
4,200,30,30,57600,4887,51612,8.484,89.604
4,200,60,30,57600,3896,51437,6.764,89.300
4,400,10,30,115200,35448,79162,30.771,68.717
4,400,20,30,115200,54394,59926,47.217,52.019
4,400,30,30,115200,25859,87477,22.447,75.935
4,400,60,30,115200,29725,81905,25.803,71.098
4,800,10,30,230400,229350,1034,99.544,0.449
4,800,20,30,230400,229426,965,99.577,0.419
4,800,30,30,230400,227697,2656,98.827,1.153
4,800,60,30,230400,229229,1146,99.492,0.497
4,1600,10,30,460800,460800,0,100.000,0.000
4,1600,20,30,460800,460800,0,100.000,0.000
4,1600,30,30,460800,460800,0,100.000,0.000
4,1600,60,30,460800,460800,0,100.000,0.000
