horizonCoeff,nBalloons,seed,meanDegree,groundedPct,believedGroundedPct,originated,delivered,satellite,ackedCount,ackLostCount,droppedLoop,droppedTtl,completionRate,meanTowerAdjacent,deliveryCeilingPerRound
2.5,400,0,0.734,1.046,1.343,1432,20,1113,20,0,0,0,0.0177,1.786,1.429
2.5,400,1,0.698,0.713,0.839,1425,14,1108,14,0,0,0,0.0125,1.740,1.392
2.5,400,2,0.764,0.273,0.306,1427,8,1118,8,0,0,0,0.0071,0.657,0.526
2.5,400,3,0.747,0.385,0.424,1423,7,1125,7,0,0,0,0.0062,1.542,1.233
2.5,400,4,0.810,0.035,0.055,1438,0,1122,0,0,0,0,0.0000,0.140,0.112
2.5,400,5,0.724,1.833,2.033,1418,37,1081,36,1,0,0,0.0331,3.586,2.869
2.5,400,6,0.676,1.899,2.196,1409,41,1091,35,6,1,0,0.0362,3.979,3.183
2.5,400,7,0.748,0.965,1.218,1432,15,1122,15,0,0,0,0.0132,3.153,2.522
2.5,400,8,0.849,1.456,1.571,1413,28,1097,28,0,0,0,0.0249,2.764,2.211
2.5,400,9,0.790,2.493,2.799,1423,40,1090,39,1,0,0,0.0354,4.876,3.901
2.5,1200,0,2.366,5.494,7.032,4272,264,3139,181,77,15,0,0.0772,8.908,7.127
2.5,1200,1,2.320,3.534,4.513,4282,182,3216,145,33,1,0,0.0535,7.474,5.979
2.5,1200,2,2.266,3.545,4.496,4294,147,3262,106,40,2,0,0.0431,3.343,2.674
2.5,1200,3,2.413,6.573,6.887,4248,246,3168,168,72,3,0,0.0720,8.383,6.707
2.5,1200,4,2.296,5.929,7.257,4269,251,3132,164,83,12,0,0.0739,6.368,5.094
2.5,1200,5,2.190,7.600,8.728,4277,379,3054,259,108,5,0,0.1102,11.065,8.852
2.5,1200,6,2.382,5.759,7.078,4298,313,3116,247,62,6,0,0.0911,9.767,7.813
2.5,1200,7,2.237,6.659,8.358,4306,308,3107,174,125,19,0,0.0897,6.074,4.859
2.5,1200,8,2.290,4.414,5.534,4290,257,3169,202,49,2,0,0.0750,7.037,5.630
2.5,1200,9,2.366,4.154,5.178,4274,214,3185,138,68,19,0,0.0626,9.426,7.541
2.5,2000,0,3.720,44.535,39.759,7137,1606,3887,498,1060,311,1,0.2767,14.017,11.213
2.5,2000,1,3.881,54.433,46.264,7120,1441,3943,491,886,498,1,0.2449,15.482,12.386
2.5,2000,2,3.765,40.647,30.161,7138,996,4486,380,575,342,5,0.1709,12.128,9.702
2.5,2000,3,3.837,53.600,39.596,7120,1051,4354,346,680,352,1,0.1825,11.125,8.900
2.5,2000,4,3.927,51.494,43.046,7139,1446,4055,518,880,330,2,0.2479,14.683,11.747
2.5,2000,5,3.826,39.340,29.918,7129,831,4754,354,428,185,1,0.1440,10.292,8.233
2.5,2000,6,3.923,35.700,32.083,7161,1079,4331,416,636,350,3,0.1872,11.549,9.239
2.5,2000,7,3.791,56.612,47.198,7179,1481,3855,427,1015,470,5,0.2549,11.785,9.428
2.5,2000,8,3.704,56.527,42.030,7110,1330,4144,502,771,346,1,0.2285,16.042,12.833
2.5,2000,9,3.860,43.172,32.685,7163,1281,4241,463,767,320,1,0.2192,12.339,9.871
3,400,0,1.227,2.037,2.295,1418,35,1101,33,2,0,0,0.0308,3.436,2.749
3,400,1,1.154,3.763,4.068,1416,61,1076,56,1,0,0,0.0536,4.451,3.561
3,400,2,1.114,1.528,1.708,1429,27,1121,25,2,0,0,0.0235,3.596,2.877
3,400,3,1.023,1.729,2.283,1425,35,1096,33,2,0,0,0.0309,2.851,2.281
3,400,4,1.160,0.577,0.661,1439,15,1117,15,0,0,0,0.0133,1.083,0.867
3,400,5,1.110,1.872,2.206,1417,35,1103,33,2,0,0,0.0308,4.022,3.218
