wind,seed,protocol,nBalloons,rounds,meanDegree,groundedPct,believedGroundedPct,originated,delivered,resolved,completionRate,satellite,acked,ackLost,droppedLoop,droppedTtl,blocked,stallNoBelief,stallStaleNextHop,beliefHopsMean,deliveredHopsMean
none,0,dv-dtn,1200,400,6.1875,97.75,97.75,2376,1608,1931,0.8327,263,1040,475,58,2,734,1250,41,6.512,4.209
none,10,dv-dtn,1200,400,6.3000,98.25,98.25,2389,1424,1881,0.7570,333,734,622,118,6,950,837,34,7.937,4.963
none,0,dv-dtn-digest-batch,1200,400,6.1875,97.75,97.75,2377,2026,2169,0.9341,95,1850,0,41,7,2133,1250,31,6.512,5.227
none,10,dv-dtn-digest-batch,1200,400,6.3000,98.25,98.25,2388,1936,2105,0.9197,60,1682,0,79,30,2570,837,27,7.937,6.409
none,0,dv-dtn-reactive,1200,400,6.1875,97.75,41.83,2378,1174,1829,0.6419,519,918,195,136,0,34,20721,69,5.275,3.982
none,10,dv-dtn-reactive,1200,400,6.3000,98.25,25.33,2388,955,1791,0.5332,710,651,243,126,0,39,24498,72,6.078,4.222
none,0,dv-dtn-link-state,1200,400,6.1875,97.75,39.83,2378,1127,1852,0.6085,725,987,80,0,0,14,29522,0,3.098,2.422
none,10,dv-dtn-link-state,1200,400,6.3000,98.25,28.42,2388,865,1805,0.4792,940,704,123,0,0,0,37186,0,3.176,2.524
none,0,spray-4,1200,400,6.1875,97.75,0.00,2372,188,1523,0.1234,1335,NaN,NaN,NaN,NaN,33,NaN,NaN,NaN,NaN
none,10,spray-4,1200,400,6.3000,98.25,0.00,2384,135,1544,0.0874,1409,NaN,NaN,NaN,NaN,27,NaN,NaN,NaN,NaN
none,0,spray-16,1200,400,6.1875,97.75,0.00,2335,452,1590,0.2843,1138,NaN,NaN,NaN,NaN,7180,NaN,NaN,NaN,NaN
none,10,spray-16,1200,400,6.3000,98.25,0.00,2336,310,1573,0.1971,1263,NaN,NaN,NaN,NaN,8893,NaN,NaN,NaN,NaN
none,1,dv-dtn,1200,400,6.2650,98.17,98.17,2384,1298,1802,0.7203,425,944,291,79,0,1810,1163,47,6.917,4.198
none,11,dv-dtn,1200,400,6.1375,99.00,99.17,2387,1071,1723,0.6216,535,676,350,115,2,1545,674,24,8.454,4.637
